Operand 1,Operand 2,Operator,Answer,Options
44,5,+,49,"48, 49, 51, 54, 59"
92,4,+,96,"94, 95, 96, 97, 98"
21,7,+,28,"23, 26, 28, 33, 38"
80,1,+,81,"76, 81, 82, 83, 86"
30,59,+,89,"79, 84, 87, 89, 90"
90,5,+,95,"85, 93, 94, 95, 97"
72,1,+,73,"68, 72, 73, 74, 75"
17,31,+,48,"43, 46, 48, 49, 58"
77,20,+,97,"92, 96, 97, 98, 99"
41,15,+,56,"46, 51, 55, 56, 58"
85,4,+,89,"79, 84, 88, 89, 91"
40,18,+,58,"56, 57, 58, 63, 68"
56,3,+,59,"54, 58, 59, 61, 64"
30,57,+,87,"77, 82, 85, 87, 92"
34,13,+,47,"42, 47, 49, 52, 57"
61,8,+,69,"59, 64, 68, 69, 74"
62,32,+,94,"84, 92, 93, 94, 99"
54,5,+,59,"57, 58, 59, 60, 61"
64,12,+,76,"71, 75, 76, 77, 86"
40,56,+,96,"86, 94, 95, 96, 98"
80,5,+,85,"75, 83, 85, 86, 90"
23,71,+,94,"92, 93, 94, 95, 96"
16,83,+,99,"89, 94, 97, 98, 99"
94,5,+,99,"94, 97, 98, 99, 100"
44,11,+,55,"45, 50, 55, 60, 65"
16,70,+,86,"76, 81, 84, 85, 86"
66,20,+,86,"76, 81, 84, 86, 87"
37,62,+,99,"89, 94, 97, 98, 99"
89,10,+,99,"94, 97, 98, 99, 100"
91,5,+,96,"86, 91, 96, 97, 98"
58,1,+,59,"57, 59, 60, 64, 69"