Operand 1,Operand 2,Answer,type,Question_en,Question_es
1,mooncake,1,feed,Feed 1 mooncake to the alien.,Da 1 pastel lunar al alienígena.
2,moonpie,2,feed,Feed 2 moonpies to the alien.,Da 2 pasteles de luna al alienígena.
3,moonburger,3,feed,Feed 3 moonburgers to the alien.,Da 3 hamburguesas lunares al alienígena.
4,moonsandwich,4,feed,Feed 4 moonsandwiches to the alien.,Da 4 sándwiches lunares al alienígena.
5,moonmelon,5,feed,Feed 5 melons to the alien.,Da 5 melones al alienígena.
2,moontea,2,count,How many moonteas does the alien have?,¿Cuántos tés lunares tiene el alienígena?
1,moonpie,1,count,How many moonpies does the alien have?,¿Cuántos pasteles de luna tiene el alienígena?
5,moonburger,5,count,How many moonburgers does the alien have?,¿Cuántas hamburguesas lunares tiene el alienígena?
0,mooncake,0,count,How many mooncakes does the alien have?,¿Cuántos pasteles lunares tiene el alienígena?
4,moonsandwich,4,count,How many moonsandwiches does the alien have?,¿Cuántos sándwiches lunares tiene el alienígena?
3,moonmelon,3,count,How many melons does the alien have?,¿Cuántos melones tiene el alienígena?
2,moonpie,2,count,How many moonpies does the alien have?,¿Cuántos pasteles de luna tiene el alienígena?
2,moonsandwich,2,feed,Feed 2 moonsandwiches to the alien.,Da 2 sándwiches lunares al alienígena.
3,mooncake,3,feed,Feed 3 mooncakes to the alien.,Da 3 pasteles lunares al alienígena.
1,moonpie,1,feed,Feed 1 moonpie to the alien.,Da 1 pastel de luna al alienígena.
4,moonsandwich,4,feed,Feed 4 moonsandwiches to the alien.,Da 4 sándwiches lunares al alienígena.
5,moonburger,5,feed,Feed 5 moonburgers to the alien.,Da 5 hamburguesas lunares al alienígena.
2,moonmelon,2,count,How many melons does the alien have?,¿Cuántos melones tiene el alienígena?
1,moonpie,1,count,How many moonpies does the alien have?,¿Cuántos pasteles de luna tiene el alienígena?
0,moonburger,0,count,How many moonburgers does the alien have?,¿Cuántas hamburguesas lunares tiene el alienígena?
4,moonsandwich,4,count,How many moonsandwiches does the alien have?,¿Cuántos sándwiches lunares tiene el alienígena?
3,mooncake,3,count,How many mooncakes does the alien have?,¿Cuántos pasteles lunares tiene el alienígena?
5,moontea,5,count,How many moonteas does the alien have?,¿Cuántos tés lunares tiene el alienígena?
1,moonpie,1,count,How many moonpies does the alien have?,¿Cuántos pasteles de luna tiene el alienígena?
3,moonburger,3,feed,Feed 3 moonburgers to the alien.,Da 3 hamburguesas lunares al alienígena.
5,mooncake,5,feed,Feed 5 mooncakes to the alien.,Da 5 pasteles lunares al alienígena.
4,moonpie,4,feed,Feed 4 moonpies to the alien.,Da 4 pasteles de luna al alienígena.
2,moonmelon,2,feed,Feed 2 melons to the alien.,Da 2 melones al alienígena.
1,moonburger,1,feed,Feed 1 moonburger to the alien.,Da 1 hamburguesa lunar al alienígena.
3,moonsandwich,3,count,How many moonsandwiches does the alien have?,¿Cuántos sándwiches lunares tiene el alienígena?
2,mooncake,2,count,How many mooncakes does the alien have?,¿Cuántos pasteles lunares tiene el alienígena?
0,moonburger,0,count,How many moonburgers does the alien have?,¿Cuántas hamburguesas lunares tiene el alienígena?
5,moonpie,5,count,How many moonpies does the alien have?,¿Cuántos pasteles de luna tiene el alienígena?
1,moontea,1,count,How many moonteas does the alien have?,¿Cuántos tés lunares tiene el alienígena?
4,moonmelon,4,count,How many melons does the alien have?,¿Cuántos melones tiene el alienígena?
2,moonsandwich,2,count,How many moonsandwiches does the alien have?,¿Cuántos sándwiches lunares tiene el alienígena?