Operand 1,Operand 2,Operator,Answer,Markers List,Visible Markers,Question EN,Question ES
2.2,,,2,"1,2,3,4,5,6,7,8,9,10","1,2,3,4,5,6,7,8,9,10",Round 2.2 to the nearest whole number.,Redondea 2.2 al número entero más cercano.
4.7,,,5,"1,2,3,4,5,6,7,8,9,10","1,2,3,4,5,6,7,8,9,10",Round 4.7 to the nearest whole number.,Redondea 4.7 al número entero más cercano.
1.1,,,1,"1,2,3,4,5,6,7,8,9,10","1,2,3,4,5,6,7,8,9,10",Round 1.1 to the nearest whole number.,Redondea 1.1 al número entero más cercano.
5.5,,,6,"1,2,3,4,5,6,7,8,9,10","1,2,3,4,5,6,7,8,9,10",Round 5.5 to the nearest whole number.,Redondea 5.5 al número entero más cercano.
3.76,,,3.8,"3.0,3.2,3.4,3.6,3.8,4.0","3.0,3.2,3.4,3.6,3.8,4.0",Round 3.76 to the nearest tenth.,Redondea 3.76 a la décima más cercana.
2.34,,,2.3,"2.0,2.2,2.4,2.6,2.8,3.0","2.0,2.2,2.4,2.6,2.8,3.0",Round 2.34 to the nearest tenth.,Redondea 2.34 a la décima más cercana.
6.85,,,6.9,"6.0,6.2,6.4,6.6,6.8,7.0","6.0,6.2,6.4,6.6,6.8,7.0",Round 6.85 to the nearest tenth.,Redondea 6.85 a la décima más cercana.
4.376,,,4.38,"4.370,4.372,4.374,4.376,4.378,4.380","4.370,4.372,4.374,4.376,4.378,4.380",Round 4.376 to the nearest hundredth.,Redondea 4.376 a la centésima más cercana.
5.839,,,5.84,"5.830,5.832,5.834,5.836,5.838,5.840","5.830,5.832,5.834,5.836,5.838,5.840",Round 5.839 to the nearest hundredth.,Redondea 5.843 a la centésima más cercana.
3.995,,,4,"3.990,3.992,3.994,3.996,3.998,4.000","3.990,3.992,3.994,3.996,3.998,4.000",Round 3.995 to the nearest hundredth.,Redondea 3.995 a la centésima más cercana.
3.14,,,3.1,"3.0,3.2,3.4,3.6,3.8,4.0","3.0,3.2,3.4,3.6,3.8,4.0",Round 3.14 to the nearest tenth.,Redondea 3.14 a la décima más cercana.
7.255,,,7.26,"7.250,7.252,7.254,7.256,7.258,7.260","7.250,7.252,7.254,7.256,7.258,7.260",Round 7.255 to the nearest hundredth.,Redondea 7.255 a la centésima más cercana.
3.786,,,3.79,"3.780,3.782,3.784,3.786,3.788,3.790","3.780,3.782,3.784,3.786,3.788,3.790",Round 3.786 to the nearest hundredth.,Redondea 3.786 a la centésima más cercana.
9.11,,,9.1,"9.0,9.2,9.4,9.6,9.8,10.0","9.0,9.2,9.4,9.6,9.8,10.0",Round 9.11 to the nearest tenth.,Redondea 9.11 a la décima más cercana.
2.451,,,2.45,"2.450,2.452,2.454,2.456,2.458,2.460","2.450,2.451,2.452,2.454,2.456,2.458,2.460",Round 2.451 to the nearest hundredth.,Redondea 2.451 a la centésima más cercana.
2.63,,,2.6,"2.0,2.2,2.4,2.6,2.8,3.0","2.0,2.2,2.4,2.6,2.8,3.0",Round 2.63 to the nearest tenth.,Redondea 2.63 a la décima más cercana.
4.67,,,4.7,"4.0,4.2,4.4,4.6,4.8,5.0","4.0,4.2,4.4,4.6,4.8,5.0",Round 4.67 to the nearest tenth.,Redondea 4.67 a la décima más cercana.
6.45,,,6.5,"6.0,6.2,6.4,6.6,6.8,7.0","6.0,6.2,6.4,6.6,6.8,7.0",Round 6.45 to the nearest tenth.,Redondea 6.45 a la décima más cercana.
3.225,,,3.23,"3.220,3.222,3.224,3.226,3.228,3.230","3.220,3.222,3.224,3.226,3.228,3.230",Round 3.225 to the nearest hundredth.,Redondea 3.225 a la centésima más cercana.
1.37,,,1.4,"1.0,1.2,1.4,1.6,1.8,2.0","1.0,1.2,1.4,1.6,1.8,2.0",Round 1.37 to the nearest tenth.,Redondea 1.37 a la décima más cercana.
4.902,,,4.9,"4.900,4.902,4.904,4.906,4.908,4.910","4.900,4.902,4.904,4.906,4.908,4.910",Round 4.902 to the nearest hundredth.,Redondea 4.902 a la centésima más cercana.
0.44,,,0.4,"0.0,0.2,0.4,0.6,0.8,1.0","0.0,0.2,0.4,0.6,0.8,1.0",Round 0.44 to the nearest tenth.,Redondea 0.44 a la décima más cercana.
2.645,,,2.65,"2.640,2.642,2.644,2.646,2.648,2.650","2.640,2.642,2.644,2.646,2.648,2.650",Round 2.645 to the nearest hundredth.,Redondea 2.645 a la centésima más cercana.
8.88,,,8.9,"8.0,8.2,8.4,8.6,8.8,9.0","8.0,8.2,8.4,8.6,8.8,9.0",Round 8.88 to the nearest tenth.,Redondea 8.88 a la décima más cercana.
7.76,,,7.8,"7.0,7.2,7.4,7.6,7.8,8.0","7.0,7.2,7.4,7.6,7.8,8.0",Round 7.76 to the nearest tenth.,Redondea 7.76 a la décima más cercana.
0.999,,,1,"0.990,0.992,0.994,0.996,0.998,1.000","0.990,0.992,0.994,0.996,0.998,1.000",Round 0.999 to the nearest hundredth.,Redondea 0.999 a la centésima más cercana.
5.82,,,5.8,"5.0,5.2,5.4,5.6,5.8,6.0","5.0,5.2,5.4,5.6,5.8,6.0",Round 5.82 to the nearest tenth.,Redondea 5.82 a la décima más cercana.
6.678,,,6.68,"6.670,6.672,6.674,6.676,6.678,6.680","6.670,6.672,6.674,6.676,6.678,6.680",Round 6.678 to the nearest hundredth.,Redondea 6.678 a la centésima más cercana.
1.389,,,1.39,"1.380,1.382,1.384,1.386,1.388,1.390","1.380,1.382,1.384,1.386,1.388,1.390",Round 1.389 to the nearest hundredth.,Redondea 1.389 a la centésima más cercana.
5.614,,,5.61,"5.610,5.612,5.614,5.616,5.618,5.620","5.610,5.612,5.614,5.616,5.618,5.620",Round 5.614 to the nearest hundredth.,Redondea 5.614 a la centésima más cercana.
0.25,0.25,+,0.5,"0,0.25,0.5,0.75,1.0","0,0.25,0.5,0.75,1.0",,
0.5,0.2,+,0.7,"0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0","0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0",,
0.3,0.2,+,0.5,"0,0.5,1.0","0,0.5,1.0",,
0.15,0.35,+,0.5,"0,0.5,1.0","0,0.5,1.0",,
0.45,0.3,+,0.75,"0,0.25,0.5,0.75,1.0","0,0.25,0.5,0.75,1.0",,
0.25,0.4,+,0.65,"0,0.25,0.5,0.75,1.0","0,0.25,0.5,0.75,1.0",,
0.3,0.35,+,0.65,"0,0.5,1.0","0,0.5,1.0",,
0.83,0.37,+,1.2,"0,1.0,2.0","0,1.0,2.0",,
0.6,0.25,+,0.85,"0,1.0","0,1.0",,
0.4,0.55,+,0.95,"0,1.0","0,1.0",,
0.15,0.4,+,0.55,"0,0.5,1.0","0,0.5,1.0",,
0.35,0.3,+,0.65,"0,0.5,1.0","0,0.5,1.0",,
0.2,0.45,+,0.65,"0,0.25,0.5,0.75,1.0","0,0.25,0.5,0.75,1.0",,
0.6,0.3,+,0.9,"0,0.5,1.0","0,0.5,1.0",,
0.5,0.15,+,0.65,"0,0.5,1.0","0,0.5,1.0",,
0.55,0.4,+,0.95,"0,0.5,1.0","0,0.5,1.0",,
0.35,0.35,+,0.7,"0,0.25,0.5,0.75,1.0","0,0.25,0.5,0.75,1.0",,
0.25,0.45,+,0.7,"0,0.25,0.5,0.75,1.0","0,0.25,0.5,0.75,1.0",,
0.69,0.31,+,1,"0,0.5,1.0","0,0.5,1.0",,
0.82,0.36,+,1.18,"0,1.0,2.0","0,1.0,2.0",,
0.74,0.29,+,1.03,"0,1.0,2.0","0,1.0,2.0",,
0.38,0.47,+,0.85,"0,0.5,1.0","0,0.5,1.0",,
0.58,0.44,+,1.02,"0,1.0,2.0","0,1.0,2.0",,
0.86,0.14,+,1,"0,1.0,2.0","0,1.0,2.0",,
0.27,0.49,+,0.76,"0,0.5,1.0","0,0.5,1.0",,
0.3,0.67,+,0.97,"0,0.5,1.0","0,0.5,1.0",,
0.95,0.45,+,1.4,"0,1.0,2.0","0,1.0,2.0",,
0.88,0.37,+,1.25,"0,1.0,2.0","0,1.0,2.0",,
0.57,0.46,+,1.03,"0,1.0,2.0","0,1.0,2.0",,
0.99,0.28,+,1.27,"0,1.0,2.0","0,1.0,2.0",,
0.7,0.2,−,0.5,"0,0.5,1.0","0,0.5,1.0",,
0.9,0.4,−,0.5,"0,0.5,1.0","0,0.5,1.0",,
0.6,0.1,−,0.5,"0,0.5,1.0","0,0.5,1.0",,
0.5,0.2,−,0.3,"0,0.25,0.5,0.75,1.0","0,0.25,0.5,0.75,1.0",,
0.8,0.3,−,0.5,"0,0.5,1.0","0,0.5,1.0",,
0.85,0.35,−,0.5,"0,0.25,0.5,0.75,1.0","0,0.25,0.5,0.75,1.0",,
0.75,0.4,−,0.35,"0,0.5,1.0","0,0.5,1.0",,
0.92,0.47,−,0.45,"0,0.5,1.0","0,0.5,1.0",,
1.03,0.58,−,0.45,"0,1.0,2.0","0,1.0,2.0",,
1.27,0.69,−,0.58,"0,1.0,2.0","0,1.0,2.0",,
0.6,0.25,−,0.35,"0,0.5,1.0","0,0.5,1.0",,
0.9,0.35,−,0.55,"0,0.5,1.0","0,0.5,1.0",,
0.85,0.3,−,12/30,"0,0.5,1.0","0,0.5,1.0",,
0.95,0.45,−,0.5,"0,0.5,1.0","0,0.5,1.0",,
0.7,0.15,−,0.55,"0,0.5,1.0","0,0.5,1.0",,
0.95,0.25,−,0.7,"0,0.5,1.0","0,0.5,1.0",,
0.8,0.29,−,0.51,"0,0.5,1.0","0,0.5,1.0",,
0.77,0.18,−,0.59,"0,0.5,1.0","0,0.5,1.0",,
0.91,0.37,−,0.54,"0,0.5,1.0","0,0.5,1.0",,
1.2,0.75,−,0.45,"0,1.0,2.0","0,1.0,2.0",,
1.25,0.65,−,0.6,"0,1.0,2.0","0,1.0,2.0",,
1.15,0.55,−,0.6,"0,1.0,2.0","0,1.0,2.0",,
0.88,0.34,−,12/30,"0,0.5,1.0","0,0.5,1.0",,
0.76,0.41,−,0.35,"0,0.5,1.0","0,0.5,1.0",,
0.9,0.27,−,0.63,"0,0.5,1.0","0,0.5,1.0",,
0.85,0.44,−,0.41,"0,0.5,1.0","0,0.5,1.0",,
1.05,0.66,−,0.39,"0,1.0,2.0","0,1.0,2.0",,
1.31,0.73,−,0.58,"0,1.0,2.0","0,1.0,2.0",,
1.44,0.59,−,0.85,"0,1.0,2.0","0,1.0,2.0",,
1.6,0.81,−,0.79,"0,1.0,2.0","0,1.0,2.0",,
