Operand 1,Operand 2,Operator,Answer,Markers List,Visible Markers
1/4,,,1/4,"0,1/4,1/2,3/4,1","0,1"
3/4,,,3/4,"0,1/4,1/2,3/4,1","0,1"
2/4,,,2/4,"0,1/4,1/2,3/4,1","0,1"
1/3,,,1/3,"0,1/3,2/3,1","0,1"
2/3,,,2/3,"0,1/3,2/3,1","0,1"
3/6,,,3/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1"
1/6,,,1/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1"
5/8,,,5/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
8/8,,,8/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
7/8,,,7/8,"0,1","0,1"
1/8,,,1/8,"0,1/8,1/4,3/8,1/2,5/8,3/4,7/8,1","0,1"
5/8,,,5/8,"0,1/8,1/4,3/8,1/2,5/8,3/4,7/8,1","0,1"
3/4,,,3/4,"0,1/4,1/2,3/4,1","0,1"
3/8,,,3/8,"0,1/8,1/4,3/8,1/2,5/8,3/4,7/8,1","0,1"
6/8,,,6/8,"0,1/8,1/4,3/8,1/2,5/8,3/4,7/8,1","0,1"
5/6,,,5/6,"0,1/6,1/3,1/2,2/3,5/6,1","0,1"
4/6,,,4/6,"0,1/6,1/3,1/2,2/3,5/6,1","0,1"
3/6,,,3/6,"0,1/6,1/3,1/2,2/3,5/6,1","0,1"
1/2,,,1/2,"0,1/2,1","0,1"
2/8,,,2/8,"0,1/8,1/4,3/8,1/2,5/8,3/4,7/8,1","0,1"
7/8,,,7/8,"0,1/8,1/4,3/8,1/2,5/8,3/4,7/8,1","0,1"
1/4,,,1/4,"0,1/4,1/2,3/4,1","0,1"
4/8,,,4/8,"0,1/8,1/4,3/8,1/2,5/8,3/4,7/8,1","0,1"
2/3,,,2/3,"0,1/3,2/3,1","0,1"
6/6,,,6/6,"0,1/6,1/3,1/2,2/3,5/6,1","0,1"
2/6,,,2/6,"0,1/6,1/3,1/2,2/3,5/6,1","0,1"
1/6,,,1/6,"0,1/6,1/3,1/2,2/3,5/6,1","0,1"
5/8,,,5/8,"0,1/8,1/4,3/8,1/2,5/8,3/4,7/8,1","0,1"
3/6,,,3/6,"0,1/6,1/3,1/2,2/3,5/6,1","0,1"
2/4,,,2/4,"0,1/4,1/2,3/4,1","0,1"
1/3,,,1/3,"0,1/3,2/3,1","0,1"
1/4,,,1/4,"0,1/4,2/4,3/4,1","0,1"
1/6,,,1/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1"
1/8,,,1/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
3/4,,,3/4,"0,1/4,2/4,3/4,1","0,1"
2/3,,,2/3,"0,1/3,2/3,1","0,1"
5/6,,,5/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1"
7/8,,,7/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
5/6,,,5/6,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
3/8,,,3/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
5/6,,,5/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1"
6/8,,,6/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
3/4,,,3/4,"0,1/4,2/4,3/4,1","0,1"
5/8,,,5/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
4/4,,,4/4,"0,1/4,2/4,3/4,4/4","0,1"
7/8,,,7/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
2/6,,,2/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1"
3/6,,,3/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1"
4/8,,,4/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
3/8,,,3/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
2/8,,,2/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
6/6,,,6/6,"0,1/6,2/6,3/6,4/6,5/6,6/6","0,1"
1/6,,,1/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1"
5/6,,,5/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1"
6/8,,,6/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
7/8,,,7/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
2/4,,,2/4,"0,1/4,2/4,3/4,1","0,1"
1/8,,,1/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
1/4,,,1/4,"0,1/4,2/4,3/4,1","0,1"
3/3,,,3/3,"0,1/3,2/3,3/3","0,1"