equation,Operand 1,Operand 2,monsterCoordinates,Answer,minX,maxX,xInterval,minY,maxY,yInterval,slopeMin,slopeMax,slopeStep,yInterceptMin,yInterceptMax,yInterceptStep
y = x + 3,0,0,"(-2,1),(2,5)",2,-5,5,1,-5,5,1,-3,3,1,-3,3,1
y = x + 5,0,0,"(-2,3),(0,5)",2,-5,5,1,-5,5,1,-5,5,1,-5,5,1
y = 2x,0,0,"(0,0),(2,4)",2,-5,5,1,-5,5,1,-5,5,1,-5,5,1
y = -x + 2,0,0,"(-2,4),(2,0)",2,-5,5,1,-5,5,1,-5,5,1,-5,5,1
y = 3x + 2,0,0,"(-1,-1),(1,5)",2,-5,5,1,-8,8,1,-4,4,1,-6,6,1
y = -2x + 4,0,0,"(2,4),(1,2)",2,-5,5,1,-10,10,2,-5,5,1,-6,6,1
y = 3x + 4,0,0,"(-2,-2),(0,4),(2,10)",3,-5,5,1,-10,10,2,-5,5,1,-6,6,1
y = -2x + 3,0,0,"(-3,9),(0,3),(3,-3)",3,-5,5,1,-10,10,2,-5,5,1,-6,6,1
y = 2x + 8,0,0,"(-4,0),(0,8),(1,10)",3,-5,5,1,-10,10,2,-5,5,1,-9,9,1
y = x + 6,0,0,"(-6,0),(-2,4),(2,8),(4,10)",4,-7,7,1,-10,10,2,-3,3,1,-7,7,1
y = 2x + 5,0,0,"(-1,3),(2,9)",2,-5,5,1,-10,10,2,-5,5,1,-6,6,1
y = x + 7,0,0,"(-4,3),(0,7),(4,11)",3,-5,5,1,-12,12,2,-3,3,1,-8,8,1
y = -x + 7,0,0,"(-2,9),(3,4)",2,-4,4,1,-10,10,2,-3,3,1,-8,8,1
y = 2x + 4,0,0,"(-3,-2),(0,4),(3,10)",3,-5,5,1,-10,10,2,-5,5,1,-6,6,1
y = 2x + 6,0,0,"(-2,2),(0,6),(2,10)",3,-5,5,1,-10,10,2,-5,5,1,-7,7,1
y = 3x + 3,0,0,"(-1,0),(1,6)",2,-3,3,1,-8,8,2,-4,4,1,-4,4,1
y = x + 6,0,0,"(-6,0),(-2,4),(2,8),(4,10)",4,-7,7,1,-12,12,2,-3,3,1,-7,7,1
y = 2x + 3,0,0,"(-4,-5),(0,3),(2,7)",3,-5,5,1,-10,10,2,-5,5,1,-6,6,1
y = -2x + 4,0,0,"(-2,8),(1,2),(4,-4)",3,-5,5,1,-10,10,2,-5,5,1,-6,6,1
y = x + 4,0,0,"(-3,1),(1,5)",2,-5,5,1,-6,6,1,-3,3,1,-5,5,1
y = 3x - 1,0,0,"(-1,-4),(0,-1),(2,5)",3,-3,3,1,-6,6,1,-4,4,1,-5,5,1
y = -2x + 2,0,0,"(-3,8),(0,2),(3,-4)",3,-5,5,1,-10,10,2,-5,5,1,-5,5,1
y = -2x + 2,0,0,"(-3,8),(2,-2)",2,-5,5,1,-10,10,2,-5,5,1,-8,8,1
y = -2x + 4,0,0,"(-3,10),(0,4),(3,-2),(6,-8)",4,-7,7,1,-12,12,2,-3,3,1,-6,6,1
y = 3x + 5,0,0,"(-2,-1),(0,5),(1,8)",3,-5,5,1,-10,10,2,-5,5,1,-8,8,1
y = x + 5,0,0,"(-5,0),(-1,4),(3,8)",3,-6,6,1,-10,10,2,-3,3,1,-6,6,1
y = -2x + 7,0,0,"(-1,9),(1,5),(3,1)",3,-5,5,1,-10,10,2,-5,5,1,-8,8,1
y = 2x + 7,0,0,"(-4,-1),(-1,5),(2,9)",3,-5,5,1,-10,10,2,-5,5,1,-8,8,1
y = 3x + 1,0,0,"(-2,-5),(0,1),(2,7),(3,10)",4,-5,5,1,-10,10,2,-5,5,1,-6,6,1
y = x + 4,0,0,"(-6,-2),(-3,1),(3,7),(6,10)",4,-5,5,1,-10,10,2,-5,5,1,-6,6,1