Operand 1,Operand 2,Answer,coordinates,coordinateIntersection,minX,maxX,xInterval,minY,maxY,yInterval,slope1Min,slope1Max,slope1Step,yIntercept1Min,yIntercept1Max,yIntercept1Step,slope2Min,slope2Max,slope2Step,yIntercept2Min,yIntercept2Max,yIntercept2Step
0,0,"y=1x+0,y=-1x+0","(1,1),(1,-1)","(0,0)",-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1
0,0,"y=-2x+5,y=2x-3","(1,3),(1,-1)","(2,1)",-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1
0,0,"y=-2x-2,y=2x+2","(0,2),(0,-2)","(-1,0)",-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1
0,0,"y=2x-1,y=-2x+7","(3,5),(3,1)","(2,3)",-5,5,1,-8,8,1,-5,5,1,-5,5,1,-5,5,1,-8,8,1
0,0,"y=3x-2,y=2x+0","(1,1),(3,6)","(2,4)",-5,5,1,-8,8,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1
0,0,"y=-2x-3,y=2x+5","(-4,-3),(-1,-1)","(-2,1)",-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1
0,0,"y=-2x+5,y=-4x+11","(2,1),(4,-5)","(3,-1)",-5,5,1,-12,12,2,-5,5,1,-5,5,1,-5,5,1,-12,12,1
0,0,"y=7x-5,y=3x+3","(1,2),(4,15),(0,3)","(2,9)",-5,5,1,-16,16,2,-7,7,1,-5,5,1,-5,5,1,-5,5,1
0,0,"y=2x+1,y=-1x-8","(-4,-7),(-2,-3),(-5,-3)","(-3,-5)",-5,5,1,-8,8,1,-5,5,1,-5,5,1,-5,5,1,-10,10,1
0,0,"y=1x-7,y=-2x+5","(5,-2),(3,-4),(2,1),(6,-7)","(4,-3)",-6,6,1,-8,8,1,-5,5,1,-8,8,1,-5,5,1,-5,5,1
0,0,"y=-2x+5,y=-1x+4","(0,4),(2,1)","(1,3)",-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1
0,0,"y=2x-4,y=-4x+2","(2,0),(0,-4),(0,2),(2,-6)","(1,-2)",-5,5,1,-6,6,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1
0,0,"y=2x-4,y=-x+5","(4,4),(0,5),(5,0)","(3,2)",-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1,-12,12,1
0,0,"y=-3x-3,y=-1x-1","(-2,3),(3,-4)","(-1,0)",-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1
0,0,"y=2x-5,y=-2x+3","(3,1),(4,-5)","(2,-1)",-5,5,1,-5,5,1,-5,5,1,-7,7,1,-5,5,1,-7,7,1
0,0,"y=2x-3,y=-2x-3","(3,3),(-3,3)","(0,-3)",-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1
0,0,"y=2x-6,y=-3x+4","(1,-4),(3,0),(3,-5),(0,4)","(2,-2)",-5,5,1,-12,12,2,-5,5,1,-6,6,1,-5,5,1,-8,8,1
0,0,"y=-2x+7,y=2x+3","(0,7),(0,3)","(1,5)",-5,5,1,-7,7,1,-5,5,1,-7,7,1,-5,5,1,-5,5,1
0,0,"y=2x-1,y=-2x-5","(-2,-1),(0,-5),(3,5)","(-1,-3)",-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1
0,0,"y=2x+7,y=-x-5","(-3,-2),(0,-5),(-3,1)","(-4,-1)",-5,5,1,-5,5,1,-5,5,1,-7,7,1,-5,5,1,-5,5,1
0,0,"y=-2x+3,y=1x-3","(1,1),(3,-3),(4,1),(0,-3)","(2,-1)",-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1
0,0,"y=-2x-5,y=1x+4","(-4,3),(-2,-1),(-4,0),(-1,3)","(-3,1)",-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1
0,0,"y=-2x+0,y=2x+0","(-1,2),(2,4)","(0,0)",-5,5,1,-6,6,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1
0,0,"y=2x-1,y=x-3","(3,5),(0,-1),(5,2),(-5,-8)","(-2,-5)",-5,5,1,-8,8,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1
0,0,"y=0x+2,y=-1x-2","(-2,2),(0,-2)","(-4,2)",-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1
0,0,"y=2x+1,y=-1x-5","(-3,-5),(-1,-1),(-3,-2),(0,-5)","(-2,-3)",-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1,-5,5,1
0,0,"y=2x+12,y=-2x+0","(-5,2),(-2,4)","(-3,6)",-5,5,1,-12,12,2,-5,5,1,-12,12,1,-5,5,1,-5,5,1
0,0,"y=2x-13,y=-3x+7","(3,-7),(5,-3),(2,1),(6,-11)","(4,-5)",-6,6,1,-14,14,2,-5,5,1,-13,13,1,-5,5,1,-7,7,1
0,0,"y=1x+9,y=-1x+1","(-5,4),(-3,6),(-6,7),(-2,3)","(-4,5)",-6,6,1,-10,10,2,-5,5,1,-10,10,1,-5,5,1,-5,5,1
0,0,"y=1x-5,y=-1x+5","(4,-1),(6,-1)","(5,0)",-7,7,1,-5,5,1,-5,5,1,-10,10,1,-5,5,1,-10,10,1