Operand 1,Operand 2,Question,Answer,Incorrect Options
,,x – 2 ≤ 4,"0,4,6,-2,-5","7,8,9,10,12"
,,2x < 12,"0,3,5,-1,-4","6,7,8,9,10"
,,x/3 < 2,"0,3,5,-3,-6","6,7,9,12,15"
,,4x ≤ 20,"0,5,3,-1,-4","6,7,8,9,10"
,,x + 7 > 14,"8,10,12,15,20","7,6,5,0,-1"
,,3x > 18,"7,8,9,12,20","6,5,4,0,-3"
,,x/4 ≥ 5,"20,24,28,40,100","19,18,10,0,-4"
,,x – 10 ≥ 25,"35,40,50,100,200","34,20,10,0,-1"
,,6x < -12,"-3,-4,-5,-6,-10","-2,-1,0,1,5"
,,x/8 > 10,"81,90,100,120,200","80,70,50,0,-8"
,,x/8 > 10,"81,90,100,120,200","80,70,50,0,-8"
,,x + 7 > 14,"8,10,12,15,20","7,6,5,0,-1"
,,3x > 18,"7,8,9,12,20","6,5,4,0,-3"
,,x/5 ≥ 9,"45,50,60,70,100","44,30,0,-5,10"
,,x – 10 ≥ 25,"35,40,50,100,200","34,20,10,0,-1"
,,4x ≤ 20,"0,5,3,-1,-4","6,7,8,9,10"
,,6x < -12,"-3,-4,-5,-6,-10","-2,-1,0,1,5"
,,x/3 ≥ 8,"24,30,40,50,100","23,10,0,-3,5"
,,x – 4 ≥ 6,"10,12,15,20,30","9,8,7,0,-5"
,,5x > 40,"9,10,12,15,20","8,7,6,0,-2"
,,x/7 > 6,"43,50,60,70,100","42,30,10,0,-5"
,,2x + 4 > 20,"9,10,12,15,30","8,7,6,0,-1"
,,8x ≥ 64,"8,9,10,12,20","7,6,5,0,-3"
,,x/6 ≤ -3,"-18,-20,-24,-30,-40","-17,-10,-5,0,5"
,,7x > 35,"6,7,8,9,10","5,4,3,0,-1"
,,x – 12 > 30,"43,50,60,100,200","42,40,30,0,-1"
,,x/4 ≥ 5,"20,24,28,40,100","19,18,10,0,-4"
,,9x < -45,"-6,-7,-8,-9,-10","-5,-4,-3,0,1"
,,10x > 90,"10,12,15,20,50","9,8,7,0,-1"
,,x/2 < -4,"-9,-10,-12,-15,-20","-8,-7,-6,0,5"